YP_006867372	408491003	NC_018721	Psychroflexus torquis ATCC 700755| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus.	P700755_001781	complement(1899271..1900521)	"esterase_lipase superfamily protein"
YP_005417124	384261938	NC_017059	Rhodospirillum photometricum DSM 122| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum.	RSPPHO_01528	1838914..1840650	"Sulfotransferase"
YP_003521155	291618413	NC_013956	Pantoea ananatis LMG 20103| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Pantoea.	PANA_2860	complement(3215771..3216502)	"hypothetical Protein"
YP_007133227	434399223	NC_019748	Stanieria cyanosphaera PCC 7437| Bacteria; Cyanobacteria; Pleurocapsales; Stanieria.	Sta7437_2736	complement(3115036..3115878)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_006825003	407700216	NC_018692	Alteromonas macleodii str. 'Black Sea 11'| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	AMBLS11_09855	complement(2340460..2341629)	"hypothetical protein"
YP_008477473	534509843	NC_022196	Fusobacterium nucleatum subsp. vincentii 3_1_36A2| Bacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium.	HMPREF0946_01174	complement(1922424..1923221)	"hypothetical protein"
YP_002283263	209551346	NC_011369	Rhizobium leguminosarum bv. trifolii WSM2304| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	Rleg2_3775	complement(3898472..3899446)	"thioredoxin"
YP_002436528	218887207	NC_011769	Desulfovibrio vulgaris str. 'Miyazaki F'| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DvMF_2117	complement(2636166..2636789)	"hypothetical protein"
YP_005148826	376262106	NC_016791	Clostridium sp. BNL1100| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	Clo1100_2868	complement(3294192..3295070)	"tetratricopeptide repeat protein"
YP_002513617	220934718	NC_011901	Thioalkalivibrio sulfidiphilus HL-EbGr7| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Thioalkalivibrio.	Tgr7_1546	1659098..1660291	"hypothetical protein"
YP_591514	94969466	NC_008009	Candidatus Koribacter versatilis Ellin345| Bacteria; Acidobacteria; Candidatus Koribacter.	Acid345_2439	complement(2883702..2885048)	"hypothetical protein"
YP_003473823	289548835	NC_013894	Thermocrinis albus DSM 14484| Bacteria; Aquificae; Aquificales; Aquificaceae; Thermocrinis.	Thal_1064	997264..998880	"hypothetical protein"
YP_005067670	479127710	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_C02640	1288714..1289736	"TPR domain protein"
YP_001804198	172037697	NC_010546	Cyanothece sp. ATCC 51142| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	cce_2784	complement(2846717..2847631)	"hypothetical protein"
NP_441529	16330801	NC_000911	Synechocystis sp. PCC 6803| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	sll1882	complement(1792784..1793608)	"hypothetical protein"
YP_005328839	379735333	NC_016943	Blastococcus saxobsidens DD2| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Frankineae; Geodermatophilaceae; Blastococcus.	BLASA_1892	1817443..1818273	"hypothetical protein"
YP_007159521	440684726	NC_019771	Anabaena cylindrica PCC 7122| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	Anacy_5285	5986345..5987439	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_003819338	302383515	NC_014375	Brevundimonas subvibrioides ATCC 15264| Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas.	Bresu_2406	2410268..2412076	"hypothetical protein"
YP_002463709	219849276	NC_011831	Chloroflexus aggregans DSM 9485| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Cagg_2400	complement(2917332..2918894)	"hypothetical protein"
YP_002464129	219849696	NC_011831	Chloroflexus aggregans DSM 9485| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Cagg_2831	3477921..3479963	"hypothetical protein"
YP_006467380	392426386	NC_018068	Desulfosporosinus acidiphilus SJ4| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfosporosinus.	Desaci_3144	3283833..3284546	"tetratricopeptide repeat protein"
YP_320199	75812580			
YP_008930406	568137821	NC_023064	Pseudomonas sp. TKP| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	U771_04220	complement(944663..946387)	"hypothetical protein"
YP_003640596	296133349	NC_014152	Thermincola potens JR| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Thermincola.	TherJR_1846	complement(1903173..1903832)	"hypothetical protein"
YP_001773352	170744697	NC_010511	Methylobacterium sp. 4-46| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	M446_6666	complement(7331514..7334033)	"peptidase C14 caspase catalytic subunit p20"
YP_001380553	153006228	NC_009675	Anaeromyxobacter sp. Fw109-5| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	Anae109_3385	complement(3973746..3975029)	"hypothetical protein"
YP_005067339	479127379	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_B00440	complement(926726..929923)	"TPR domain protein"
YP_007066282	427718288	NC_019682	Calothrix sp. PCC 7507| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal7507_3035	complement(3463047..3463280)	"hypothetical protein"
YP_007170875	428779089	NC_019780	Dactylococcopsis salina PCC 8305| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Dactylococcopsis.	Dacsa_0762	770106..770711	"hypothetical protein"
YP_001929456	188995204	NC_010729	Porphyromonas gingivalis ATCC 33277| Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas.	PGN_1340	complement(1491379..1494342)	"hypothetical protein"
YP_001780767	170757588	NC_010516	Clostridium botulinum B1 str. Okra| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	CLD_3425	1266300..1267211	"hypothetical protein"
YP_007121155	428310178	NC_019738	Microcoleus sp. PCC 7113| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Microcoleus.	Mic7113_1894	2210183..2212003	"serine/threonine protein kinase"
YP_001018859	124024552	NC_008820	Prochlorococcus marinus str. MIT 9303| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	P9303_28641	complement(2533073..2534818)	"hypothetical protein"
YP_008714418	554638774	NC_022600	Gloeobacter kilaueensis JS1| Bacteria; Cyanobacteria; Gloeobacteria; Gloeobacterales; Gloeobacter.	GKIL_4465	4686765..4687280	"photosystem I assembly protein Ycf3"
YP_001546982	159900735	NC_009972	Herpetosiphon aurantiacus DSM 785| Bacteria; Chloroflexi; Chloroflexia; Herpetosiphonales; Herpetosiphonaceae; Herpetosiphon.	Haur_4222	5378563..5383836	"hypothetical protein"
YP_002380127	218441798	NC_011729	Cyanothece sp. PCC 7424| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	PCC7424_4902	complement(5441645..5443858)	"hypothetical protein"
YP_002417655	218710034	NC_011753	Vibrio splendidus LGP32| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VS_2054	complement(2204526..2205704)	"tetratricopeptide repeat protein"
YP_007911197	488573398	NC_021171	Bacillus sp. 1NLA3E| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	B1NLA3E_14760	complement(3223587..3224864)	"hypothetical protein"
YP_005068247	479128287	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_D02890	1900080..1902098	"TPR domain protein"
YP_001248248	148284158			
YP_008887071	564954501	NC_023019	Pseudomonas aeruginosa MTB-1| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	U769_23165	complement(4987904..4988641)	"hypothetical protein"
YP_003069002	254561907	NC_012988	Methylobacterium extorquens DM4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	METDI3508	3437058..3437666	"hypothetical protein"
YP_797125	116327405	NC_008508	Leptospira borgpetersenii serovar Hardjo-bovis str. L550| Bacteria; Spirochaetes; Spirochaetales; Leptospiraceae; Leptospira.	LBL_0611	686984..687676	"hypothetical protein"
YP_007188738	433611940	NC_019845	Sinorhizobium meliloti GR4| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium.	C770_GR4Chr0154	complement(168662..169471)	"Flp pilus assembly protein TadD, contains TPR repeats"
YP_008601246	549452607			
YP_677921	110637714	NC_008255	Cytophaga hutchinsonii ATCC 33406| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Cytophaga.	CHU_1309	complement(1519865..1521412)	"TPR repeat-containing protein"
YP_007450020	451813568	NC_020286	Synechocystis sp. PCC 6803| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	MYO_12420	complement(264516..265316)	"outer membrane 72K protein"
YP_548901	91787949	NC_007948	Polaromonas sp. JS666| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas.	Bpro_2074	2160148..2160639	"hypothetical protein"
YP_007362060	442322039	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_05089	complement(6552211..6554088)	"hypothetical protein"
YP_004866292	347758730	NC_016026	Micavibrio aeruginosavorus ARL-13| Bacteria; Proteobacteria; Alphaproteobacteria; Micavibrio.	MICA_1981	1969766..1971670	"hypothetical protein"
YP_005169819	378770086	NC_016804	Mycobacterium bovis BCG str. Mexico| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex.	BCGMEX_0348c	complement(407211..409709)	"putative transcriptional regulatory protein"
YP_645922	108805985	NC_008148	Rubrobacter xylanophilus DSM 9941| Bacteria; Actinobacteria; Rubrobacteridae; Rubrobacterales; Rubrobacterineae; Rubrobacteraceae; Rubrobacter.	Rxyl_3205	complement(3217642..3217977)	"hypothetical protein"
YP_001070369	126434678	NC_009077	Mycobacterium sp. JLS| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	Mjls_2091	2199063..2199527	"TPR repeat-containing protein"
YP_006524998	397687679	NC_018177	Pseudomonas stutzeri DSM 10701| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PSJM300_12890	2829662..2830417	"type IV pilus biogenesis/stability protein PilW"
YP_007895063	482894497	NC_021149	Azotobacter vinelandii CA| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	AvCA_41490	4183443..4185005	"hypothetical protein"
YP_004985923	392378763	NC_016594	Azospirillum brasilense Sp245| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOBR_p1160047	1624916..1625554	"hypothetical protein"
YP_002603293	224369129	NC_012108	Desulfobacterium autotrophicum HRM2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfobacterium.	HRM2_20280	complement(2279280..2281565)	"hypothetical protein"
YP_008731929	556563504	NC_022657	Actinoplanes friuliensis DSM 7358| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Actinoplanes.	AFR_02935	648209..648946	"hypothetical protein"
YP_007438346	449071266			
YP_005179406	378697448	NC_016809	Haemophilus influenzae 10810| Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus.	HIB_13810	1423958..1425148	"hypothetical protein"
YP_003690860	297569516	NC_014216	Desulfurivibrio alkaliphilus AHT2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfurivibrio.	DaAHT2_1546	1818588..1819751	"response regulator receiver protein"
YP_001235772	148261645	NC_009484	Acidiphilium cryptum JF-5| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium.	Acry_2662	2921173..2922846	"tetratricopeptide domain-containing protein"
YP_006448929	392412322	NC_018025	Desulfomonile tiedjei DSM 6799| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Desulfomonile.	Desti_4025	4687279..4689354	"Flp pilus assembly protein TadD"
YP_003450643	288960303	NC_013855	Azospirillum sp. B510| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZL_a05680	715106..719140	"polypeptide N-acetylglucosaminyltransferase"
YP_004519858	333987251	NC_015574	Methanobacterium paludis| Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium.	MSWAN_1036	1124349..1125035	"hypothetical protein"
YP_005067511	479127551	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_C01030	1134733..1136574	"TPR domain protein"
YP_002508936	220932028	NC_011899	Halothermothrix orenii H 168| Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halanaerobiaceae; Halothermothrix.	Hore_11910	complement(1285219..1286403)	"hypothetical protein"
YP_005033742	392384546	NC_016618	Azospirillum brasilense Sp245| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOBR_p280133	901287..903059	"hypothetical protein"
YP_003571673	294507615	NC_014032	Salinibacter ruber M8| Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Salinibacter.	SRM_01799	2052386..2054431	"hypothetical protein"
YP_007170	46445805	NC_005861	Candidatus Protochlamydia amoebophila UWE25| Bacteria; Chlamydiae; Chlamydiales; Parachlamydiaceae; Candidatus Protochlamydia.	pc0171	250492..252972	"O-linked N-acetylglucosamine transferase"
YP_004901046	357386322	NC_016078	Pelagibacterium halotolerans B2| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pelagibacterium.	KKY_3309	3283466..3284401	"thioredoxin"
YP_003270240	262199031	NC_013440	Haliangium ochraceum DSM 14365| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Nannocystineae; Kofleriaceae; Haliangium.	Hoch_5872	8052584..8054737	"histidine kinase"
YP_003674227	297538458	NC_014207	Methylotenera versatilis 301| Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylotenera.	M301_1267	complement(1412959..1414236)	"hypothetical protein"
NP_642343	21242761	NC_003919	Xanthomonas axonopodis pv. citri str. 306| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	XAC2017	2360135..2360914	"fimbrial biogenesis protein"
YP_004697336	339499301	NC_015732	Treponema caldaria DSM 7334| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Spica_0674	complement(738773..739894)	"hypothetical protein"
YP_003168105	257094464	NC_013194	Candidatus Accumulibacter phosphatis clade IIA str. UW-1| Bacteria; Proteobacteria; Betaproteobacteria; Candidatus Accumulibacter.	CAP2UW1_2896	complement(3351416..3352585)	"hypothetical protein"
YP_004486616	333912884	NC_015563	Delftia sp. Cs1-4| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia.	DelCs14_1229	complement(1395269..1396582)	"type 12 methyltransferase"
YP_005608662	384217496	NC_017249	Bradyrhizobium japonicum USDA 6| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	BJ6T_38000	3909400..3910968	"hypothetical protein"
YP_376024	78183590	NC_007513	Synechococcus sp. CC9902| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	Syncc9902_0006	complement(8498..9379)	"TPR repeat-containing protein"
YP_001875379	187250897	NC_010644	Elusimicrobium minutum Pei191| Bacteria; Elusimicrobia; Elusimicrobia; Elusimicrobiales; Elusimicrobiaceae; Elusimicrobium.	Emin_0486	522049..524193	"sporulation protein-like protein"
YP_001925846	188582401	NC_010725	Methylobacterium populi BJ001| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	Mpop_3159	3393521..3394369	"hypothetical protein"
YP_001448290	156977384	NC_009784	Vibrio campbellii ATCC BAA-1116| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VIBHAR_06171	1349606..1351273	"hypothetical protein"
YP_001434254	156744125	NC_009767	Roseiflexus castenholzii DSM 13941| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Roseiflexineae; Roseiflexaceae; Roseiflexus.	Rcas_4209	5444002..5445510	"TPR repeat-containing CheR-type MCP methyltransferase"
YP_008323957	526229314	NC_021870	Salmonella bongori N268-08| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	A464_3363	complement(3334364..3335248)	"Lipoprotein nlpI precursor"
YP_006791359	407477482	NC_018665	Exiguobacterium antarcticum B7| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium.	Eab7_1642	complement(1600448..1601710)	"hypothetical protein"
YP_001640271	163852228	NC_010172	Methylobacterium extorquens PA1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	Mext_2809	complement(3145131..3147284)	"hypothetical protein"
YP_005836690	385800286	NC_017455	Halanaerobium praevalens DSM 2228| Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halanaerobiaceae; Halanaerobium.	Hprae_1402	complement(1548819..1549514)	"response regulator receiver protein"
NP_488422	17231874	NC_003272	Nostoc sp. PCC 7120| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	all4382	complement(5252152..5253087)	"hypothetical protein"
YP_325295	75910999	NC_007413	Anabaena variabilis ATCC 29413| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	Ava_4803	6032895..6033917	"hypothetical protein"
YP_007244288	431931242	NC_019940	Thioflavicoccus mobilis 8321| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thioflavicoccus.	Thimo_1892	complement(2091586..2092374)	"type IV pilus biogenesis/stability protein PilW"
YP_004527932	333995319	NC_015577	Treponema azotonutricium ZAS-9| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TREAZ_3543	2640399..2641565	"hypothetical protein"
YP_007124039	428313062	NC_019738	Microcoleus sp. PCC 7113| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Microcoleus.	Mic7113_4972	5809707..5811293	"hypothetical protein"
NP_892253	33860692	NC_005072	Prochlorococcus marinus subsp. pastoris str. CCMP1986| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	PMM0132	130155..130676	"photosystem I assembly protein Ycf3"
YP_004439763	332297841	NC_015500	Treponema brennaborense DSM 12168| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Trebr_1204	1426860..1427573	"hypothetical protein"
YP_006293921	387131031	NC_017856	Methylophaga frappieri| Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga.	Q7C_2096	2101266..2103032	"hypothetical protein"
YP_748292	114332070	NC_008344	Nitrosomonas eutropha C91| Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas.	Neut_2105	complement(2229204..2229890)	"hypothetical protein"
YP_007134185	434400181	NC_019748	Stanieria cyanosphaera PCC 7437| Bacteria; Cyanobacteria; Pleurocapsales; Stanieria.	Sta7437_3723	complement(4215026..4216564)	"serine/threonine protein kinase"
YP_003138175	257060287	NC_013161	Cyanothece sp. PCC 8802| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan8802_2471	complement(2492829..2494049)	"hypothetical protein"
YP_600410	94992311	NC_008023	Streptococcus pyogenes MGAS2096| Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	MGAS2096_Spy0814	781263..782528	"hypothetical protein"
YP_001546842	159900595	NC_009972	Herpetosiphon aurantiacus DSM 785| Bacteria; Chloroflexi; Chloroflexia; Herpetosiphonales; Herpetosiphonaceae; Herpetosiphon.	Haur_4082	complement(5214544..5216022)	"hypothetical protein"
NP_372144	15924610	NC_002758	Staphylococcus aureus subsp. aureus Mu50| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SAV1620	complement(1728377..1729045)	"hypothetical protein"
YP_320048	75812429			
YP_005245252	379703524	NC_016857	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	STM474_4478	4543344..4543964	"formate-dependent nitrite reductase complex subunit NrfG"
YP_008171142	522568713	NC_021710	Alteromonas macleodii str. 'Ionian Sea U4'| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	I607_05400	1195566..1197389	"hypothetical protein"
YP_001516097	158334925	NC_009925	Acaryochloris marina MBIC11017| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Acaryochloris.	AM1_1762	1750497..1751864	"hypothetical protein"
YP_001381336	153007011	NC_009675	Anaeromyxobacter sp. Fw109-5| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	Anae109_4174	4893286..4896258	"serine/threonine protein kinase"
YP_007146836	434403951	NC_019757	Cylindrospermum stagnale PCC 7417| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Cylindrospermum.	Cylst_1907	2235958..2237763	"tetratricopeptide repeat protein"
YP_003888734	307153350	NC_014501	Cyanothece sp. PCC 7822| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan7822_3517	complement(3896897..3898000)	"hypothetical protein"
YP_003016824	253687634	NC_012917	Pectobacterium carotovorum subsp. carotovorum PC1| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Pectobacterium.	PC1_1240	1449098..1450267	"hypothetical protein"
YP_003061085	254295062	NC_012982	Hirschia baltica ATCC 49814| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Hirschia.	Hbal_2715	complement(2974943..2976520)	"hypothetical protein"
YP_008296518	525918537	NC_021837	Listeria monocytogenes| Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	M639_09780	1931607..1932275	"hypothetical protein"
YP_001830393	182682233	NC_010577	Xylella fastidiosa M23| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xylella.	XfasM23_1715	complement(1894956..1895765)	"type IV pilus biogenesis/stability protein PilW"
YP_005383648	383322795	NC_017038	Synechocystis sp. PCC 6803 substr. GT-I| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	SYNGTI_1886	2067737..2068609	"hypothetical protein"
YP_004450108	332667320	NC_015510	Haliscomenobacter hydrossis DSM 1100| Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Saprospiraceae; Haliscomenobacter.	Halhy_5410	complement(6894222..6895139)	"hypothetical protein"
YP_001580551	161525539	NC_010084	Burkholderia multivorans ATCC 17616| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Bmul_2369	2579298..2581217	"hypothetical protein"
YP_001446037	156975130	NC_009783	Vibrio campbellii ATCC BAA-1116| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VIBHAR_02857	complement(2877479..2878654)	"tetratricopeptide repeat protein"
NP_953660	39997709	NC_002939	Geobacter sulfurreducens PCA| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	GSU2615	complement(2885560..2886150)	"hypothetical protein"
YP_004198993	322419770	NC_014973	Geobacter sp. M18| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	GM18_2258	2722386..2722952	"hypothetical protein"
YP_741778	114320095	NC_008340	Alkalilimnicola ehrlichii MLHE-1| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Alkalilimnicola.	Mlg_0934	1058971..1060140	"hypothetical protein"
YP_004548103	334315484	NC_015590	Sinorhizobium meliloti AK83| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium.	Sinme_0730	755872..757017	"cytochrome c-type biogenesis protein CcmI"
YP_005190231	378827499	NC_016812	Sinorhizobium fredii HH103| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium/Ensifer group; Sinorhizobium.	SFHH103_02914	3157960..3158847	"putative O-linked GlcNAc transferase"
YP_007631438	525968767	NC_020799	Ralstonia solanacearum FQY_4| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia.	F504_419	complement(431313..433235)	"TPR domain protein"
YP_004282135	325295621	NC_015185	Desulfurobacterium thermolithotrophum DSM 11699| Bacteria; Aquificae; Desulfurobacteriales; Desulfurobacteriaceae; Desulfurobacterium.	Dester_1446	complement(1440721..1441746)	"hypothetical protein"
YP_002334377	217076661	NC_011653	Thermosipho africanus TCF52B| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermosipho.	THA_548	556566..558041	"tetratricopeptide repeat domain protein"
YP_002493874	220918570	NC_011891	Anaeromyxobacter dehalogenans 2CP-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	A2cp1_3478	3884335..3885159	"hypothetical protein"
YP_007058464	427738920	NC_019678	Rivularia sp. PCC 7116| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Rivularia.	Riv7116_5548	6976235..6977182	"hypothetical protein"
YP_003605821	295677297	NC_014117	Burkholderia sp. CCGE1002| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	BC1002_2251	2517000..2518886	"hypothetical protein"
